nm, %R
1000.000000, 80.048200
998.000000, 80.193300
996.000000, 80.075400
994.000000, 80.203800
992.000000, 80.324000
990.000000, 80.524300
988.000000, 80.123300
986.000000, 80.159000
984.000000, 80.614900
982.000000, 80.349700
980.000000, 80.812600
978.000000, 81.182900
976.000000, 80.953100
974.000000, 81.219400
972.000000, 80.988100
970.000000, 81.232900
968.000000, 81.175000
966.000000, 81.586600
964.000000, 81.413700
962.000000, 81.784500
960.000000, 81.683300
958.000000, 81.747200
956.000000, 81.757000
954.000000, 81.549200
952.000000, 81.939100
950.000000, 81.938900
948.000000, 82.192700
946.000000, 82.400000
944.000000, 82.575500
942.000000, 82.633500
940.000000, 82.906000
938.000000, 82.785600
936.000000, 83.219500
934.000000, 83.323500
932.000000, 83.830000
930.000000, 83.349300
928.000000, 83.428500
926.000000, 83.467800
924.000000, 84.248100
922.000000, 83.878700
920.000000, 84.247000
918.000000, 83.869000
916.000000, 84.690400
914.000000, 85.407800
912.000000, 85.487700
910.000000, 85.053000
908.000000, 85.341000
906.000000, 85.398500
904.000000, 85.834800
902.000000, 86.282600
900.000000, 86.419800
898.000000, 86.942800
896.000000, 87.232800
894.000000, 86.117300
892.000000, 88.054800
890.000000, 88.067900
888.000000, 88.047800
886.000000, 88.011400
884.000000, 88.402300
882.000000, 88.947200
880.000000, 88.453800
878.000000, 88.150800
876.000000, 88.519300
874.000000, 88.006300
872.000000, 88.224900
870.000000, 89.797700
868.000000, 90.521500
866.000000, 89.538100
864.000000, 89.907500
862.000000, 90.740400
860.000000, 91.466000
858.000000, 90.597300
856.000000, 88.932700
854.000000, 89.402400
852.000000, 89.720600
850.000000, 89.594200
848.000000, 89.874700
846.000000, 93.526800
844.000000, 90.565600
842.000000, 93.524800
840.000000, 92.121100
838.000000, 93.301700
836.000000, 94.471600
834.000000, 92.958300
832.000000, 94.994400
830.000000, 93.292800
828.000000, 92.067400
826.000000, 93.849000
824.000000, 93.702500
822.000000, 93.215000
820.000000, 93.156100
818.000000, 92.616300
816.000000, 92.982400
814.000000, 92.075400
812.000000, 91.041300
810.000000, 91.586400
808.000000, 91.152300
806.000000, 90.745600
804.000000, 91.117000
802.000000, 91.072400
800.000000, 91.437600
798.000000, 91.513200
796.000000, 90.379000
794.000000, 90.328100
792.000000, 90.603700
790.000000, 90.764900
788.000000, 90.790900
786.000000, 90.391500
784.000000, 90.924000
782.000000, 90.240900
780.000000, 90.149500
778.000000, 90.250400
776.000000, 89.478900
774.000000, 89.965000
772.000000, 90.160200
770.000000, 89.615800
768.000000, 89.399000
766.000000, 89.061400
764.000000, 88.439900
762.000000, 88.470200
760.000000, 88.412900
758.000000, 88.481800
756.000000, 88.480500
754.000000, 88.453400
752.000000, 88.477200
750.000000, 88.252500
748.000000, 88.455300
746.000000, 88.482400
744.000000, 87.817100
742.000000, 87.894900
740.000000, 88.469500
738.000000, 87.905000
736.000000, 87.550800
734.000000, 87.743700
732.000000, 87.627400
730.000000, 87.848300
728.000000, 87.432000
726.000000, 87.098800
724.000000, 87.095300
722.000000, 87.035900
720.000000, 86.822500
718.000000, 86.890800
716.000000, 87.251200
714.000000, 86.913800
712.000000, 86.448400
710.000000, 86.648700
708.000000, 86.773100
706.000000, 86.634500
704.000000, 86.724400
702.000000, 86.427200
700.000000, 86.315100
698.000000, 86.283000
696.000000, 86.418800
694.000000, 86.312400
692.000000, 86.270700
690.000000, 86.278700
688.000000, 86.103300
686.000000, 86.181100
684.000000, 86.478100
682.000000, 86.465100
680.000000, 86.201700
678.000000, 86.230900
676.000000, 86.379000
674.000000, 86.288800
672.000000, 86.225200
670.000000, 86.157500
668.000000, 86.050800
666.000000, 85.817900
664.000000, 85.857700
662.000000, 86.017700
660.000000, 85.790200
658.000000, 85.685600
656.000000, 85.627800
654.000000, 85.891400
652.000000, 85.888600
650.000000, 85.664200
648.000000, 85.412900
646.000000, 85.557900
644.000000, 85.618300
642.000000, 85.550500
640.000000, 85.683900
638.000000, 85.708100
636.000000, 85.651700
634.000000, 85.452600
632.000000, 85.419500
630.000000, 85.275400
628.000000, 85.161200
626.000000, 85.580900
624.000000, 85.423200
622.000000, 85.524600
620.000000, 85.540100
618.000000, 85.314600
616.000000, 85.211300
614.000000, 85.309700
612.000000, 85.336400
610.000000, 85.174800
608.000000, 85.339800
606.000000, 85.246300
604.000000, 85.198200
602.000000, 85.331500
600.000000, 85.262400
598.000000, 85.245500
596.000000, 85.123800
594.000000, 84.999400
592.000000, 85.313400
590.000000, 85.251000
588.000000, 84.923500
586.000000, 85.001100
584.000000, 85.380400
582.000000, 85.308900
580.000000, 85.178500
578.000000, 85.325600
576.000000, 85.121900
574.000000, 85.215300
572.000000, 85.147800
570.000000, 85.026300
