Created as New Dataset,or the CBM setting on the
nm,log(1/R)
800.0,0.2837
796.0,0.2876
792.0,0.2917
788.0,0.2966
784.0,0.2998
780.0,0.3046
776.0,0.3076
772.0,0.3111
768.0,0.3157
764.0,0.3194
760.0,0.3239
756.0,0.3279
752.0,0.3322
748.0,0.3354
744.0,0.3402
740.0,0.3437
736.0,0.3479
732.0,0.3525
728.0,0.3565
724.0,0.3603
720.0,0.3638
716.0,0.3675
712.0,0.3703
708.0,0.3742
704.0,0.3782
700.0,0.3803
696.0,0.3837
692.0,0.3868
688.0,0.3896
684.0,0.3926
680.0,0.3948
676.0,0.3968
672.0,0.3984
668.0,0.4000
664.0,0.4017
660.0,0.4027
656.0,0.4037
652.0,0.4045
648.0,0.4050
644.0,0.4049
640.0,0.4044
636.0,0.4039
632.0,0.4034
628.0,0.4025
624.0,0.4011
620.0,0.3998
616.0,0.3979
612.0,0.3959
608.0,0.3928
604.0,0.3906
600.0,0.3879
596.0,0.3838
592.0,0.3803
588.0,0.3765
584.0,0.3725
580.0,0.3678
576.0,0.3629
572.0,0.3576
568.0,0.3518
564.0,0.3455
560.0,0.3391
556.0,0.3323
552.0,0.3255
548.0,0.3180
544.0,0.3104
540.0,0.3027
536.0,0.2949
532.0,0.2869
528.0,0.2789
524.0,0.2709
520.0,0.2632
516.0,0.2556
512.0,0.2485
508.0,0.2417
504.0,0.2355
500.0,0.2298
496.0,0.2252
492.0,0.2203
488.0,0.2170
484.0,0.2139
480.0,0.2117
476.0,0.2099
472.0,0.2088
468.0,0.2080
464.0,0.2078
460.0,0.2086
456.0,0.2096
452.0,0.2107
448.0,0.2118
444.0,0.2137
440.0,0.2149
436.0,0.2163
432.0,0.2183
428.0,0.2204
424.0,0.2224
420.0,0.2251
416.0,0.2277
412.0,0.2310
408.0,0.2331
404.0,0.2367
400.0,0.2393
396.0,0.2419
392.0,0.2444
388.0,0.2455
384.0,0.2465
380.0,0.2468
376.0,0.2483
372.0,0.2483
368.0,0.2500
364.0,0.2533
360.0,0.2580
356.0,0.2644
352.0,0.2732
348.0,0.2847
344.0,0.2977
340.0,0.3139
336.0,0.3332
332.0,0.3541
328.0,0.3796
324.0,0.4080
320.0,0.4389
316.0,0.4780
312.0,0.5182
308.0,0.5616
304.0,0.6113
300.0,0.6686
296.0,0.7322
292.0,0.7992
288.0,0.8688
284.0,0.9372
280.0,1.0029
276.0,1.0636
272.0,1.1158
268.0,1.1601
264.0,1.1931
260.0,1.2099
256.0,1.2021
252.0,1.1639
248.0,1.1114
244.0,1.0655
240.0,1.0464
236.0,1.0560
232.0,1.0823
228.0,1.1219
224.0,1.1652
220.0,1.2032
216.0,1.2276
212.0,1.2286
208.0,1.2020
204.0,1.1508
200.0,1.0649
