nm,Reflect,KM
1000,0.8493990277611767,0.013351
998,0.84431768423001,0.014353
996,0.8499234482700381,0.01325
994,0.8490679214588833,0.013415
992,0.8464466900457253,0.013928
990,0.847676040672253,0.013686
988,0.8516375266026723,0.012923
986,0.8509006061813342,0.013063
984,0.8469531559281627,0.013828
982,0.8508061943122414,0.013081
980,0.8468060603169203,0.013857
978,0.8427145047924415,0.014678
976,0.848233917504844,0.013577
974,0.8469531559281627,0.013828
972,0.8493368747363701,0.013363
970,0.847451580173493,0.01373
968,0.8561764195407935,0.01208
966,0.8472377152896139,0.013772
964,0.849466397078688,0.013338
962,0.8461690426275572,0.013983
960,0.8488253532775888,0.013462
958,0.8477117892594443,0.013679
956,0.8499859107515002,0.013238
954,0.856920218029503,0.011945
952,0.849279929796351,0.013374
950,0.8508901122244874,0.013065
948,0.8468973397680502,0.013839
946,0.847120760763698,0.013795
944,0.8476556177172936,0.01369
942,0.8476045756199165,0.0137
940,0.8473445998796918,0.013751
938,0.8507537760462813,0.013091
936,0.8497206732340881,0.013289
934,0.8493524099317347,0.01336
932,0.8468111295729194,0.013856
930,0.8539197023493261,0.012495
928,0.8486553354013356,0.013495
926,0.8570142266162238,0.011928
924,0.8505024932710372,0.013139
922,0.8538174335721156,0.012514
920,0.8506961429504467,0.013102
918,0.8546706464125471,0.012356
916,0.8518806735543322,0.012877
914,0.845680931118963,0.01408
912,0.8483930584094851,0.013546
910,0.8538389563278797,0.01251
908,0.8499963243816013,0.013236
906,0.8408132260325356,0.015069
904,0.8393550204382516,0.015373
902,0.8395172581106651,0.015339
900,0.842528425953555,0.014716
898,0.8436442426294564,0.014489
896,0.8353939066490681,0.016217
894,0.8513211359472803,0.012983
892,0.8416119655148566,0.014904
890,0.8454551579267948,0.014125
888,0.8428076506279336,0.014659
886,0.8403124271741047,0.015173
884,0.8501526392986634,0.013206
882,0.8475484545181738,0.013711
880,0.84032203877632,0.015171
878,0.8453198967020792,0.014152
876,0.8577356983035761,0.011798
874,0.8564073043002123,0.012038
872,0.8674384374494232,0.010129
870,0.8429303193289085,0.014634
868,0.8453449336352786,0.014147
866,0.8518119068277745,0.01289
864,0.8393407155369126,0.015376
862,0.8295827664578587,0.017504
860,0.8490730878813192,0.013414
858,0.8534199826598321,0.012588
856,0.8673229955224926,0.010148
854,0.8649386916716858,0.010545
852,0.854969138633652,0.012301
850,0.8517537511838935,0.012901
848,0.8560940736405714,0.012095
846,0.8412966908629358,0.014969
844,0.8661452966583729,0.010343
842,0.8430138045489821,0.014617
840,0.838093010687372,0.015639
838,0.8328916755571953,0.016764
836,0.849026598187187,0.013423
834,0.8422010279142691,0.014783
832,0.8172173929042694,0.020441
830,0.8445562650268047,0.014305
828,0.8572911736401836,0.011878
826,0.8346155376140557,0.016386
824,0.8363492285487535,0.016011
822,0.8429745102686853,0.014625
820,0.8491402718846044,0.013401
818,0.8441340981933376,0.01439
816,0.8356343731662134,0.016165
814,0.8463810063231081,0.013941
812,0.8644290227185687,0.010631
810,0.8489388340466855,0.01344
808,0.8498194175599245,0.01327
806,0.852831683335106,0.012698
804,0.8477986518968097,0.013662
802,0.8468516913461855,0.013848
800,0.8414566522493235,0.014936
798,0.8391882324822774,0.015408
796,0.8505077228557973,0.013138
794,0.8506490096114783,0.013111
792,0.8436886934296708,0.01448
790,0.8375137443451407,0.015762
788,0.8394981603003367,0.015343
786,0.8468719773854314,0.013844
784,0.8382677889633254,0.015602
782,0.8383954847478136,0.015575
780,0.8383907529391909,0.015576
778,0.835412387808005,0.016213
776,0.8424746138655841,0.014727
774,0.8388838271684091,0.015472
772,0.834872928217168,0.01633
770,0.8397418781999848,0.015292
768,0.8400723798783462,0.015223
766,0.8457412088347194,0.014068
764,0.8478293244137127,0.013656
