nm, K-M
1000.000000, 0.046465
998.000000, 0.046874
996.000000, 0.046557
994.000000, 0.046422
992.000000, 0.046645
990.000000, 0.048922
988.000000, 0.047533
986.000000, 0.047341
984.000000, 0.047712
982.000000, 0.048078
980.000000, 0.047012
978.000000, 0.050678
976.000000, 0.048205
974.000000, 0.050417
972.000000, 0.049131
970.000000, 0.048952
968.000000, 0.051607
966.000000, 0.051581
964.000000, 0.050647
962.000000, 0.052035
960.000000, 0.051772
958.000000, 0.052252
956.000000, 0.052376
954.000000, 0.054444
952.000000, 0.053491
950.000000, 0.051514
948.000000, 0.051866
946.000000, 0.054061
944.000000, 0.054082
942.000000, 0.053902
940.000000, 0.052009
938.000000, 0.055030
936.000000, 0.056205
934.000000, 0.054699
932.000000, 0.058943
930.000000, 0.056776
928.000000, 0.057061
926.000000, 0.058004
924.000000, 0.056648
922.000000, 0.061175
920.000000, 0.062850
918.000000, 0.056997
916.000000, 0.061447
914.000000, 0.068292
912.000000, 0.063872
910.000000, 0.063641
908.000000, 0.060971
906.000000, 0.063696
904.000000, 0.066330
902.000000, 0.064730
900.000000, 0.069034
898.000000, 0.071679
896.000000, 0.072831
894.000000, 0.069219
892.000000, 0.075857
890.000000, 0.074076
888.000000, 0.072991
886.000000, 0.071508
884.000000, 0.076818
882.000000, 0.080994
880.000000, 0.076993
878.000000, 0.078398
876.000000, 0.078765
874.000000, 0.070275
872.000000, 0.077849
870.000000, 0.078590
868.000000, 0.087329
866.000000, 0.078493
864.000000, 0.083590
862.000000, 0.077048
860.000000, 0.084901
858.000000, 0.071853
856.000000, 0.071017
854.000000, 0.080293
852.000000, 0.082816
850.000000, 0.065472
848.000000, 0.070237
846.000000, 0.096695
844.000000, 0.093544
842.000000, 0.094476
840.000000, 0.095882
838.000000, 0.102449
836.000000, 0.121863
834.000000, 0.115495
832.000000, 0.111284
830.000000, 0.111243
828.000000, 0.114061
826.000000, 0.129526
824.000000, 0.122285
822.000000, 0.118992
820.000000, 0.121522
818.000000, 0.121082
816.000000, 0.127258
814.000000, 0.122261
812.000000, 0.115279
810.000000, 0.118998
808.000000, 0.121677
806.000000, 0.122385
804.000000, 0.128311
802.000000, 0.130379
800.000000, 0.135502
798.000000, 0.135690
796.000000, 0.128972
794.000000, 0.132458
792.000000, 0.136604
790.000000, 0.140461
788.000000, 0.140630
786.000000, 0.141233
784.000000, 0.150956
782.000000, 0.146441
780.000000, 0.148841
778.000000, 0.151099
776.000000, 0.152543
774.000000, 0.156128
772.000000, 0.161857
770.000000, 0.163563
768.000000, 0.163230
766.000000, 0.168847
764.000000, 0.164487
762.000000, 0.166837
760.000000, 0.170120
758.000000, 0.176245
756.000000, 0.177387
754.000000, 0.178301
752.000000, 0.183050
750.000000, 0.185938
748.000000, 0.190011
746.000000, 0.196791
744.000000, 0.197115
742.000000, 0.196847
740.000000, 0.202590
738.000000, 0.202956
736.000000, 0.200433
734.000000, 0.206021
732.000000, 0.208644
730.000000, 0.213922
728.000000, 0.218098
726.000000, 0.220695
724.000000, 0.223580
722.000000, 0.220285
720.000000, 0.220763
718.000000, 0.228967
716.000000, 0.233422
714.000000, 0.234631
712.000000, 0.233650
710.000000, 0.237315
708.000000, 0.243316
706.000000, 0.244289
704.000000, 0.246741
702.000000, 0.249099
700.000000, 0.251094
698.000000, 0.254456
696.000000, 0.261957
694.000000, 0.264829
692.000000, 0.268663
690.000000, 0.271586
688.000000, 0.270579
686.000000, 0.276199
684.000000, 0.286835
682.000000, 0.289761
680.000000, 0.288021
678.000000, 0.293498
676.000000, 0.298565
674.000000, 0.299684
672.000000, 0.305380
670.000000, 0.306690
668.000000, 0.309560
666.000000, 0.314975
664.000000, 0.318323
662.000000, 0.326240
660.000000, 0.327876
658.000000, 0.333023
656.000000, 0.336171
654.000000, 0.343989
652.000000, 0.347641
650.000000, 0.348138
648.000000, 0.349977
646.000000, 0.355915
644.000000, 0.357808
642.000000, 0.361949
640.000000, 0.370596
638.000000, 0.375917
636.000000, 0.376946
634.000000, 0.375903
632.000000, 0.382920
630.000000, 0.386836
628.000000, 0.392166
626.000000, 0.401842
624.000000, 0.402604
622.000000, 0.406458
620.000000, 0.410952
618.000000, 0.411856
616.000000, 0.415194
614.000000, 0.424819
612.000000, 0.426702
610.000000, 0.432310
608.000000, 0.438978
606.000000, 0.442869
604.000000, 0.447492
602.000000, 0.452530
600.000000, 0.456299
598.000000, 0.458833
596.000000, 0.461082
594.000000, 0.469063
592.000000, 0.478912
590.000000, 0.481397
588.000000, 0.482890
586.000000, 0.488943
