nm, K-M
1000.000000, 0.007481
998.000000, 0.007760
996.000000, 0.007175
994.000000, 0.007362
992.000000, 0.007294
990.000000, 0.007234
988.000000, 0.007141
986.000000, 0.007588
984.000000, 0.007471
982.000000, 0.006778
980.000000, 0.007528
978.000000, 0.008199
976.000000, 0.007782
974.000000, 0.008187
972.000000, 0.007095
970.000000, 0.007422
968.000000, 0.007197
966.000000, 0.007538
964.000000, 0.007505
962.000000, 0.007518
960.000000, 0.007871
958.000000, 0.007543
956.000000, 0.007421
954.000000, 0.007058
952.000000, 0.006827
950.000000, 0.007554
948.000000, 0.007665
946.000000, 0.008036
944.000000, 0.007211
942.000000, 0.007295
940.000000, 0.007333
938.000000, 0.007574
936.000000, 0.007947
934.000000, 0.007880
932.000000, 0.007676
930.000000, 0.006943
928.000000, 0.007190
926.000000, 0.006872
924.000000, 0.008376
922.000000, 0.006887
920.000000, 0.006594
918.000000, 0.006160
916.000000, 0.007678
914.000000, 0.008196
912.000000, 0.007988
910.000000, 0.007020
908.000000, 0.007421
906.000000, 0.007682
904.000000, 0.006352
902.000000, 0.007756
900.000000, 0.008250
898.000000, 0.008814
896.000000, 0.008907
894.000000, 0.007892
892.000000, 0.009683
890.000000, 0.007494
888.000000, 0.008104
886.000000, 0.008486
884.000000, 0.009187
882.000000, 0.010358
880.000000, 0.009377
878.000000, 0.006809
876.000000, 0.005942
874.000000, 0.006057
872.000000, 0.007084
870.000000, 0.007701
868.000000, 0.008254
866.000000, 0.006184
864.000000, 0.007148
862.000000, 0.008318
860.000000, 0.008397
858.000000, 0.011420
856.000000, 0.007681
854.000000, 0.007537
852.000000, 0.007862
850.000000, 0.008626
848.000000, 0.005754
846.000000, 0.006633
844.000000, 0.001975
842.000000, 0.007826
840.000000, 0.007382
838.000000, 0.010173
836.000000, 0.010289
834.000000, 0.007818
832.000000, 0.011063
830.000000, 0.010476
828.000000, 0.006884
826.000000, 0.010117
824.000000, 0.012484
822.000000, 0.009855
820.000000, 0.010018
818.000000, 0.010546
816.000000, 0.010697
814.000000, 0.007735
812.000000, 0.006873
810.000000, 0.009411
808.000000, 0.009704
806.000000, 0.009213
804.000000, 0.008939
802.000000, 0.008673
800.000000, 0.008862
798.000000, 0.009678
796.000000, 0.009146
794.000000, 0.008430
792.000000, 0.008940
790.000000, 0.010763
788.000000, 0.010666
786.000000, 0.010124
784.000000, 0.010371
782.000000, 0.008539
780.000000, 0.009367
778.000000, 0.010700
776.000000, 0.010000
774.000000, 0.010456
772.000000, 0.011198
770.000000, 0.010165
768.000000, 0.010242
766.000000, 0.010389
764.000000, 0.010123
762.000000, 0.010458
760.000000, 0.009918
758.000000, 0.010297
756.000000, 0.010415
754.000000, 0.011002
752.000000, 0.011614
