nm, %R
1000.000000, 83.828119
998.000000, 83.689660
996.000000, 83.490310
994.000000, 83.969089
992.000000, 83.677606
990.000000, 83.603831
988.000000, 84.270493
986.000000, 84.205641
984.000000, 83.577850
982.000000, 84.474864
980.000000, 83.575457
978.000000, 83.510567
976.000000, 83.621875
974.000000, 83.673359
972.000000, 83.633275
970.000000, 83.803484
968.000000, 83.701386
966.000000, 83.578553
964.000000, 83.721290
962.000000, 83.561555
960.000000, 83.463939
958.000000, 83.833085
956.000000, 83.726164
954.000000, 84.265204
952.000000, 84.130409
950.000000, 84.016749
948.000000, 83.982641
946.000000, 84.063714
944.000000, 83.672881
942.000000, 83.981194
940.000000, 83.626155
938.000000, 84.010987
936.000000, 83.269666
934.000000, 83.150372
932.000000, 83.570082
930.000000, 83.917561
928.000000, 83.708565
926.000000, 83.789198
924.000000, 83.456363
922.000000, 83.957548
920.000000, 83.230026
918.000000, 83.509879
916.000000, 83.095959
914.000000, 82.796068
912.000000, 83.354447
910.000000, 83.876524
908.000000, 82.909153
906.000000, 83.358607
904.000000, 83.623076
902.000000, 83.057766
900.000000, 82.672837
898.000000, 82.313084
896.000000, 83.346631
894.000000, 82.773148
892.000000, 81.449279
890.000000, 81.490418
888.000000, 81.684381
886.000000, 81.986197
884.000000, 81.828640
882.000000, 81.753107
880.000000, 81.945942
878.000000, 81.519850
876.000000, 81.484716
874.000000, 83.288128
872.000000, 83.572552
870.000000, 81.678595
868.000000, 81.860000
866.000000, 82.757396
864.000000, 81.098462
862.000000, 80.256093
860.000000, 80.480506
858.000000, 81.909174
856.000000, 82.572215
854.000000, 82.740061
852.000000, 82.095751
850.000000, 85.645834
848.000000, 85.496252
846.000000, 80.605880
844.000000, 76.795936
842.000000, 75.759157
840.000000, 80.328394
838.000000, 80.772805
836.000000, 78.355082
834.000000, 80.924027
832.000000, 77.322769
830.000000, 78.530390
828.000000, 80.663297
826.000000, 78.394762
824.000000, 78.037833
822.000000, 77.290887
820.000000, 78.688996
818.000000, 78.257283
816.000000, 77.798487
814.000000, 78.939109
812.000000, 79.525446
810.000000, 78.946437
808.000000, 78.410638
806.000000, 79.146758
804.000000, 78.046358
802.000000, 78.039670
800.000000, 77.883934
798.000000, 77.345126
796.000000, 78.149459
794.000000, 78.030314
792.000000, 77.221681
790.000000, 76.622571
788.000000, 76.370760
786.000000, 77.008900
784.000000, 76.750693
782.000000, 76.872682
780.000000, 76.766482
778.000000, 76.120992
776.000000, 76.576712
774.000000, 75.832157
772.000000, 75.285769
770.000000, 75.184064
768.000000, 74.812582
766.000000, 75.311976
764.000000, 76.491719
762.000000, 75.769468
760.000000, 75.410715
758.000000, 75.505810
756.000000, 75.195552
754.000000, 74.613751
752.000000, 74.434431
750.000000, 74.587009
748.000000, 74.014446
746.000000, 73.339557
744.000000, 73.885041
742.000000, 73.955599
740.000000, 72.928410
738.000000, 72.998692
736.000000, 72.990195
734.000000, 72.666756
732.000000, 72.646569
730.000000, 71.955519
728.000000, 72.282116
726.000000, 72.496751
724.000000, 72.354651
722.000000, 72.359337
720.000000, 72.081431
718.000000, 71.600676
716.000000, 71.285438
714.000000, 71.041077
712.000000, 71.199930
710.000000, 70.982600
708.000000, 70.582704
706.000000, 70.601088
704.000000, 70.558459
702.000000, 70.359563
700.000000, 69.851973
698.000000, 69.612670
696.000000, 69.217346
694.000000, 69.095055
692.000000, 68.838319
690.000000, 68.592944
688.000000, 68.472637
686.000000, 68.049839
684.000000, 67.558723
682.000000, 67.537654
680.000000, 67.488692
678.000000, 67.245964
676.000000, 66.776994
674.000000, 66.545948
672.000000, 66.283755
670.000000, 66.058091
668.000000, 65.963594
666.000000, 65.985884
664.000000, 65.750305
662.000000, 65.330740
660.000000, 65.310607
658.000000, 64.956072
656.000000, 64.784100
654.000000, 64.091632
652.000000, 63.901263
650.000000, 63.845807
648.000000, 63.784510
646.000000, 63.483559
644.000000, 63.051941
642.000000, 62.864858
640.000000, 62.723802
638.000000, 62.330865
636.000000, 62.207405
634.000000, 62.199512
632.000000, 61.971447
630.000000, 61.757553
628.000000, 61.518274
626.000000, 61.056965
624.000000, 60.727414
622.000000, 60.431151
620.000000, 60.264133
618.000000, 60.123941
616.000000, 60.128293
614.000000, 59.567083
612.000000, 59.266972
610.000000, 59.206127
608.000000, 58.786404
606.000000, 58.473036
604.000000, 58.269658
602.000000, 57.714092
600.000000, 57.338405
598.000000, 57.442446
596.000000, 57.344479
594.000000, 57.067344
592.000000, 56.655813
590.000000, 56.452358
588.000000, 56.293605
586.000000, 55.981393
584.000000, 55.356733
582.000000, 55.237027
580.000000, 55.030671
578.000000, 54.790708
576.000000, 54.505245
574.000000, 54.073036
572.000000, 53.990708
570.000000, 53.708794
568.000000, 53.524241
