nm, K-M
1000.000000, 0.013351
998.000000, 0.014353
996.000000, 0.013250
994.000000, 0.013415
992.000000, 0.013928
990.000000, 0.013686
988.000000, 0.012923
986.000000, 0.013063
984.000000, 0.013828
982.000000, 0.013081
980.000000, 0.013857
978.000000, 0.014678
976.000000, 0.013577
974.000000, 0.013828
972.000000, 0.013363
970.000000, 0.013730
968.000000, 0.012080
966.000000, 0.013772
964.000000, 0.013338
962.000000, 0.013983
960.000000, 0.013462
958.000000, 0.013679
956.000000, 0.013238
954.000000, 0.011945
952.000000, 0.013374
950.000000, 0.013065
948.000000, 0.013839
946.000000, 0.013795
944.000000, 0.013690
942.000000, 0.013700
940.000000, 0.013751
938.000000, 0.013091
936.000000, 0.013289
934.000000, 0.013360
932.000000, 0.013856
930.000000, 0.012495
928.000000, 0.013495
926.000000, 0.011928
924.000000, 0.013139
922.000000, 0.012514
920.000000, 0.013102
918.000000, 0.012356
916.000000, 0.012877
914.000000, 0.014080
912.000000, 0.013546
910.000000, 0.012510
908.000000, 0.013236
906.000000, 0.015069
904.000000, 0.015373
902.000000, 0.015339
900.000000, 0.014716
898.000000, 0.014489
896.000000, 0.016217
894.000000, 0.012983
892.000000, 0.014904
890.000000, 0.014125
888.000000, 0.014659
886.000000, 0.015173
884.000000, 0.013206
882.000000, 0.013711
880.000000, 0.015171
878.000000, 0.014152
876.000000, 0.011798
874.000000, 0.012038
872.000000, 0.010129
870.000000, 0.014634
868.000000, 0.014147
866.000000, 0.012890
864.000000, 0.015376
862.000000, 0.017504
860.000000, 0.013414
858.000000, 0.012588
856.000000, 0.010148
854.000000, 0.010545
852.000000, 0.012301
850.000000, 0.012901
848.000000, 0.012095
846.000000, 0.014969
844.000000, 0.010343
842.000000, 0.014617
840.000000, 0.015639
838.000000, 0.016764
836.000000, 0.013423
834.000000, 0.014783
832.000000, 0.020441
830.000000, 0.014305
828.000000, 0.011878
826.000000, 0.016386
824.000000, 0.016011
822.000000, 0.014625
820.000000, 0.013401
818.000000, 0.014390
816.000000, 0.016165
814.000000, 0.013941
812.000000, 0.010631
810.000000, 0.013440
808.000000, 0.013270
806.000000, 0.012698
804.000000, 0.013662
802.000000, 0.013848
800.000000, 0.014936
798.000000, 0.015408
796.000000, 0.013138
794.000000, 0.013111
792.000000, 0.014480
790.000000, 0.015762
788.000000, 0.015343
786.000000, 0.013844
784.000000, 0.015602
782.000000, 0.015575
780.000000, 0.015576
778.000000, 0.016213
776.000000, 0.014727
774.000000, 0.015472
772.000000, 0.016330
770.000000, 0.015292
768.000000, 0.015223
766.000000, 0.014068
764.000000, 0.013656
762.000000, 0.013891
760.000000, 0.014196
758.000000, 0.014773
756.000000, 0.014277
754.000000, 0.014806
752.000000, 0.015250
750.000000, 0.014677
748.000000, 0.015445
746.000000, 0.015384
744.000000, 0.014026
742.000000, 0.014452
740.000000, 0.014775
738.000000, 0.014538
736.000000, 0.014415
734.000000, 0.014142
732.000000, 0.014282
730.000000, 0.014911
728.000000, 0.014504
726.000000, 0.013855
724.000000, 0.013836
722.000000, 0.014306
720.000000, 0.013617
718.000000, 0.013724
716.000000, 0.013995
714.000000, 0.014074
712.000000, 0.014004
710.000000, 0.014192
708.000000, 0.014563
706.000000, 0.014639
704.000000, 0.014979
702.000000, 0.014358
700.000000, 0.014282
698.000000, 0.014013
696.000000, 0.014203
694.000000, 0.014068
692.000000, 0.014119
690.000000, 0.014342
688.000000, 0.014297
686.000000, 0.015272
684.000000, 0.016297
682.000000, 0.016571
680.000000, 0.015483
678.000000, 0.015122
676.000000, 0.016075
674.000000, 0.015828
672.000000, 0.015285
670.000000, 0.015506
668.000000, 0.015546
666.000000, 0.015693
664.000000, 0.016083
662.000000, 0.015993
660.000000, 0.015773
658.000000, 0.016439
656.000000, 0.015681
654.000000, 0.016056
652.000000, 0.016296
650.000000, 0.016055
648.000000, 0.015171
646.000000, 0.015714
644.000000, 0.016212
642.000000, 0.015477
640.000000, 0.015800
638.000000, 0.015943
636.000000, 0.015654
634.000000, 0.015561
632.000000, 0.015450
630.000000, 0.015185
628.000000, 0.015032
626.000000, 0.015430
624.000000, 0.015593
622.000000, 0.015836
620.000000, 0.015724
618.000000, 0.015870
616.000000, 0.015558
614.000000, 0.015560
612.000000, 0.016242
610.000000, 0.015494
608.000000, 0.015798
606.000000, 0.016277
604.000000, 0.015733
602.000000, 0.016720
600.000000, 0.016634
598.000000, 0.016204
596.000000, 0.015910
594.000000, 0.015678
592.000000, 0.016354
590.000000, 0.016537
588.000000, 0.015796
586.000000, 0.015499
584.000000, 0.016748
582.000000, 0.016748
580.000000, 0.016224
578.000000, 0.016661
576.000000, 0.016027
574.000000, 0.016071
572.000000, 0.016258
570.000000, 0.016365
568.000000, 0.016803
566.000000, 0.016591
564.000000, 0.017992
562.000000, 0.017579
560.000000, 0.016627
558.000000, 0.016594
556.000000, 0.016642
554.000000, 0.017740
552.000000, 0.017491
550.000000, 0.016881
548.000000, 0.016609
546.000000, 0.016624
544.000000, 0.016551
542.000000, 0.016625
540.000000, 0.017197
538.000000, 0.016929
536.000000, 0.017122
534.000000, 0.017342
532.000000, 0.017379
530.000000, 0.017544
528.000000, 0.017670
526.000000, 0.018005
524.000000, 0.017844
522.000000, 0.017754
520.000000, 0.017896
518.000000, 0.018032
516.000000, 0.017985
514.000000, 0.017470
512.000000, 0.017533
510.000000, 0.017338
508.000000, 0.017519
506.000000, 0.017400
504.000000, 0.017104
502.000000, 0.017181
500.000000, 0.017292
498.000000, 0.018046
496.000000, 0.018100
