nm, K-M
1000.000000, 0.010875
998.000000, 0.010742
996.000000, 0.010012
994.000000, 0.010311
992.000000, 0.010422
990.000000, 0.010632
988.000000, 0.009682
986.000000, 0.009718
984.000000, 0.010099
982.000000, 0.009904
980.000000, 0.010513
978.000000, 0.011353
976.000000, 0.009944
974.000000, 0.010561
972.000000, 0.010963
970.000000, 0.010997
968.000000, 0.010816
966.000000, 0.011740
964.000000, 0.010478
962.000000, 0.010862
960.000000, 0.011374
958.000000, 0.011224
956.000000, 0.011510
954.000000, 0.009801
952.000000, 0.010058
950.000000, 0.010559
948.000000, 0.010991
946.000000, 0.011357
944.000000, 0.012959
942.000000, 0.010560
940.000000, 0.011604
938.000000, 0.011268
936.000000, 0.011913
934.000000, 0.012076
932.000000, 0.012018
930.000000, 0.010955
928.000000, 0.010974
926.000000, 0.010768
924.000000, 0.011848
922.000000, 0.011690
920.000000, 0.011720
918.000000, 0.011195
916.000000, 0.011768
914.000000, 0.012895
912.000000, 0.013255
910.000000, 0.013355
908.000000, 0.013245
906.000000, 0.011702
904.000000, 0.012712
902.000000, 0.015393
900.000000, 0.013206
898.000000, 0.014217
896.000000, 0.014317
894.000000, 0.014118
892.000000, 0.016554
890.000000, 0.014328
888.000000, 0.015020
886.000000, 0.015773
884.000000, 0.016017
882.000000, 0.017045
880.000000, 0.013014
878.000000, 0.012545
876.000000, 0.015765
874.000000, 0.014031
872.000000, 0.013034
870.000000, 0.018697
868.000000, 0.018797
866.000000, 0.013855
864.000000, 0.016651
862.000000, 0.014731
860.000000, 0.017658
858.000000, 0.017393
856.000000, 0.016681
854.000000, 0.009912
852.000000, 0.012661
850.000000, 0.017719
848.000000, 0.021942
846.000000, 0.037186
844.000000, 0.023219
842.000000, 0.022279
840.000000, 0.018537
838.000000, 0.022172
836.000000, 0.022451
834.000000, 0.020546
832.000000, 0.025453
830.000000, 0.024027
828.000000, 0.017542
826.000000, 0.022697
824.000000, 0.024527
822.000000, 0.024631
820.000000, 0.022938
818.000000, 0.025125
816.000000, 0.027625
814.000000, 0.023303
812.000000, 0.021174
810.000000, 0.024617
808.000000, 0.021571
806.000000, 0.022065
804.000000, 0.024683
802.000000, 0.024225
800.000000, 0.026545
798.000000, 0.029915
796.000000, 0.025500
794.000000, 0.025177
792.000000, 0.027347
790.000000, 0.029852
788.000000, 0.030179
786.000000, 0.027640
784.000000, 0.031215
782.000000, 0.029860
780.000000, 0.028859
778.000000, 0.031958
776.000000, 0.031565
774.000000, 0.034704
772.000000, 0.036052
770.000000, 0.034659
768.000000, 0.034324
766.000000, 0.033864
764.000000, 0.032330
762.000000, 0.033293
760.000000, 0.034094
758.000000, 0.035597
756.000000, 0.036418
754.000000, 0.037266
752.000000, 0.039258
750.000000, 0.040982
748.000000, 0.041385
746.000000, 0.039909
744.000000, 0.039511
742.000000, 0.041052
740.000000, 0.042864
738.000000, 0.043502
736.000000, 0.044097
734.000000, 0.044622
732.000000, 0.045267
730.000000, 0.046689
728.000000, 0.046888
726.000000, 0.047733
724.000000, 0.048208
722.000000, 0.049482
720.000000, 0.049120
718.000000, 0.050094
716.000000, 0.052417
714.000000, 0.051903
712.000000, 0.051897
710.000000, 0.054574
708.000000, 0.055258
706.000000, 0.054792
704.000000, 0.058170
702.000000, 0.058136
700.000000, 0.057165
698.000000, 0.058825
696.000000, 0.061774
694.000000, 0.062801
692.000000, 0.064643
690.000000, 0.066003
688.000000, 0.066046
686.000000, 0.067915
684.000000, 0.070952
682.000000, 0.072569
680.000000, 0.072273
678.000000, 0.073164
676.000000, 0.076837
674.000000, 0.077618
672.000000, 0.076578
670.000000, 0.078518
668.000000, 0.081098
666.000000, 0.081627
664.000000, 0.083806
662.000000, 0.086022
660.000000, 0.085838
658.000000, 0.086520
656.000000, 0.089103
654.000000, 0.092611
652.000000, 0.094573
650.000000, 0.095572
648.000000, 0.095908
646.000000, 0.097363
644.000000, 0.099134
642.000000, 0.101746
640.000000, 0.104615
638.000000, 0.108065
636.000000, 0.107810
634.000000, 0.108092
632.000000, 0.110484
630.000000, 0.112268
628.000000, 0.113587
626.000000, 0.117787
624.000000, 0.119129
622.000000, 0.121185
620.000000, 0.123983
618.000000, 0.125508
616.000000, 0.125747
614.000000, 0.129792
612.000000, 0.132672
610.000000, 0.133807
608.000000, 0.136271
606.000000, 0.140066
604.000000, 0.142405
602.000000, 0.145971
600.000000, 0.146012
598.000000, 0.148643
596.000000, 0.150374
594.000000, 0.152787
592.000000, 0.156472
590.000000, 0.158993
588.000000, 0.160825
586.000000, 0.163897
584.000000, 0.169960
582.000000, 0.170204
580.000000, 0.172667
578.000000, 0.176942
576.000000, 0.179643
574.000000, 0.181320
572.000000, 0.184225
570.000000, 0.186234
568.000000, 0.190241
566.000000, 0.193314
564.000000, 0.199456
562.000000, 0.202161
560.000000, 0.203339
558.000000, 0.203508
556.000000, 0.206128
554.000000, 0.215345
552.000000, 0.217549
550.000000, 0.219323
548.000000, 0.221166
546.000000, 0.225171
544.000000, 0.229501
542.000000, 0.232476
540.000000, 0.235416
538.000000, 0.237348
536.000000, 0.243146
534.000000, 0.248785
532.000000, 0.251681
530.000000, 0.251475
528.000000, 0.256580
526.000000, 0.260624
524.000000, 0.261579
522.000000, 0.266715
520.000000, 0.266849
518.000000, 0.269356
516.000000, 0.273763
514.000000, 0.275026
512.000000, 0.278722
510.000000, 0.281177
508.000000, 0.285484
506.000000, 0.292612
504.000000, 0.294954
502.000000, 0.296196
500.000000, 0.302304
498.000000, 0.309655
496.000000, 0.314951
494.000000, 0.315125
492.000000, 0.320368
490.000000, 0.329987
488.000000, 0.335802
486.000000, 0.340307
484.000000, 0.344734
482.000000, 0.353585
480.000000, 0.357986
478.000000, 0.359127
476.000000, 0.367927
474.000000, 0.367057
472.000000, 0.365492
470.000000, 0.375800
468.000000, 0.377329
466.000000, 0.380983
464.000000, 0.389188
462.000000, 0.393623
460.000000, 0.399481
458.000000, 0.405820
456.000000, 0.413883
454.000000, 0.419297
452.000000, 0.418203
450.000000, 0.423627
448.000000, 0.432535
446.000000, 0.436852
444.000000, 0.438367
442.000000, 0.443549
440.000000, 0.452183
438.000000, 0.460406
436.000000, 0.460328
434.000000, 0.461937
432.000000, 0.471713
430.000000, 0.477822
428.000000, 0.482536
426.000000, 0.487561
424.000000, 0.487743
422.000000, 0.497729
420.000000, 0.494968
418.000000, 0.497198
416.000000, 0.501374
414.000000, 0.506585
412.000000, 0.513332
410.000000, 0.515105
408.000000, 0.522346
406.000000, 0.521451
404.000000, 0.528261
402.000000, 0.527100
400.000000, 0.523499
398.000000, 0.526452
396.000000, 0.533684
394.000000, 0.540004
392.000000, 0.534255
390.000000, 0.529334
388.000000, 0.532509
386.000000, 0.540917
384.000000, 0.529385
382.000000, 0.516243
380.000000, 0.517368
378.000000, 0.501520
376.000000, 0.546717
374.000000, 0.538004
372.000000, 0.538452
370.000000, 0.514203
368.000000, 0.519386
366.000000, 0.537657
364.000000, 0.543855
362.000000, 0.551121
360.000000, 0.570614
358.000000, 0.591382
356.000000, 0.604693
354.000000, 0.623006
352.000000, 0.638153
350.000000, 0.654888
348.000000, 0.716063
