nm, %R
1000.000000, 86.299629
998.000000, 86.377665
996.000000, 86.814927
994.000000, 86.633551
992.000000, 86.567278
990.000000, 86.442229
988.000000, 87.019257
986.000000, 86.996719
984.000000, 86.762249
982.000000, 86.881345
980.000000, 86.513118
978.000000, 86.024027
976.000000, 86.856958
974.000000, 86.484387
972.000000, 86.248350
970.000000, 86.228856
968.000000, 86.334339
966.000000, 85.805880
964.000000, 86.533470
962.000000, 86.307308
960.000000, 86.012073
958.000000, 86.097750
956.000000, 85.935149
954.000000, 86.945304
952.000000, 86.787382
950.000000, 86.485662
948.000000, 86.231989
946.000000, 86.022087
944.000000, 85.144746
942.000000, 86.485021
940.000000, 85.882204
938.000000, 86.072457
936.000000, 85.709479
934.000000, 85.619783
932.000000, 85.651676
930.000000, 86.253274
928.000000, 86.241872
926.000000, 86.361926
924.000000, 85.745910
922.000000, 85.834068
920.000000, 85.816824
918.000000, 86.114655
916.000000, 85.790243
914.000000, 85.178754
912.000000, 84.989653
910.000000, 84.937862
908.000000, 84.994786
906.000000, 85.827034
904.000000, 85.275669
902.000000, 83.926075
900.000000, 85.015124
898.000000, 84.499579
896.000000, 84.449657
894.000000, 84.549098
892.000000, 83.384551
890.000000, 84.444275
888.000000, 84.105111
886.000000, 83.746197
884.000000, 83.631987
882.000000, 83.162595
880.000000, 85.115846
878.000000, 85.365079
876.000000, 83.750097
874.000000, 84.592921
872.000000, 85.105452
870.000000, 82.442089
868.000000, 82.399540
866.000000, 84.681605
864.000000, 83.340656
862.000000, 84.245386
860.000000, 82.890582
858.000000, 83.007441
856.000000, 83.326943
854.000000, 86.876415
852.000000, 85.303041
850.000000, 82.863846
848.000000, 81.131064
846.000000, 76.194952
844.000000, 80.647509
842.000000, 81.001724
840.000000, 82.510087
838.000000, 81.042896
836.000000, 80.936387
834.000000, 81.679742
832.000000, 79.839654
830.000000, 80.350359
828.000000, 82.941628
826.000000, 80.843270
824.000000, 80.169152
822.000000, 80.131846
820.000000, 80.752522
818.000000, 79.955472
816.000000, 79.095506
814.000000, 80.616538
812.000000, 81.429966
810.000000, 80.136898
808.000000, 81.274636
806.000000, 81.083821
804.000000, 80.113041
802.000000, 80.278218
800.000000, 79.460856
798.000000, 78.349134
796.000000, 79.823189
794.000000, 79.937140
792.000000, 79.188598
790.000000, 78.369061
788.000000, 78.265443
786.000000, 79.090401
784.000000, 77.941248
782.000000, 78.366683
780.000000, 78.688623
778.000000, 77.713118
776.000000, 77.833210
774.000000, 76.897460
772.000000, 76.512031
770.000000, 76.910433
768.000000, 77.007685
