nm, K-M
1000.000000, 0.011200
998.000000, 0.011073
996.000000, 0.010666
994.000000, 0.010430
992.000000, 0.010701
990.000000, 0.011539
988.000000, 0.010595
986.000000, 0.009669
984.000000, 0.010871
982.000000, 0.010261
980.000000, 0.010718
978.000000, 0.011448
976.000000, 0.010675
974.000000, 0.011058
972.000000, 0.010393
970.000000, 0.010685
968.000000, 0.010366
966.000000, 0.010564
964.000000, 0.010589
962.000000, 0.011941
960.000000, 0.010405
958.000000, 0.011075
956.000000, 0.010951
954.000000, 0.009910
952.000000, 0.010190
950.000000, 0.009753
948.000000, 0.009892
946.000000, 0.011516
944.000000, 0.012007
942.000000, 0.011216
940.000000, 0.011230
938.000000, 0.010016
936.000000, 0.011128
934.000000, 0.010685
932.000000, 0.011460
930.000000, 0.010636
928.000000, 0.010901
926.000000, 0.010052
924.000000, 0.011054
922.000000, 0.009592
920.000000, 0.010837
918.000000, 0.010313
916.000000, 0.009909
914.000000, 0.011461
912.000000, 0.012130
910.000000, 0.010058
908.000000, 0.011110
906.000000, 0.009824
904.000000, 0.010485
902.000000, 0.011401
900.000000, 0.011222
898.000000, 0.011874
896.000000, 0.011794
894.000000, 0.009890
892.000000, 0.013032
890.000000, 0.012080
888.000000, 0.011109
886.000000, 0.009727
884.000000, 0.012348
882.000000, 0.012652
880.000000, 0.011300
878.000000, 0.013380
876.000000, 0.010026
874.000000, 0.009610
872.000000, 0.009581
870.000000, 0.012909
868.000000, 0.012946
866.000000, 0.009568
864.000000, 0.011421
862.000000, 0.007990
860.000000, 0.007406
858.000000, 0.006703
856.000000, 0.007315
854.000000, 0.009583
852.000000, 0.007488
850.000000, 0.011596
848.000000, 0.012658
846.000000, 0.019415
844.000000, 0.006812
842.000000, 0.011576
840.000000, 0.011078
838.000000, 0.012052
836.000000, 0.012861
834.000000, 0.010676
832.000000, 0.013570
830.000000, 0.010551
828.000000, 0.009078
826.000000, 0.013429
824.000000, 0.014954
822.000000, 0.012823
820.000000, 0.013057
818.000000, 0.014418
816.000000, 0.012620
814.000000, 0.011671
812.000000, 0.011666
810.000000, 0.012750
808.000000, 0.010660
806.000000, 0.010598
804.000000, 0.010983
802.000000, 0.011529
800.000000, 0.013089
798.000000, 0.013448
796.000000, 0.010991
794.000000, 0.011031
792.000000, 0.012464
790.000000, 0.012750
788.000000, 0.013634
786.000000, 0.013127
784.000000, 0.014878
782.000000, 0.012346
780.000000, 0.011636
778.000000, 0.011854
776.000000, 0.012189
774.000000, 0.013141
772.000000, 0.012352
770.000000, 0.011564
768.000000, 0.012244
766.000000, 0.011825
764.000000, 0.012058
762.000000, 0.012785
760.000000, 0.010913
758.000000, 0.010768
756.000000, 0.011688
754.000000, 0.011970
752.000000, 0.012311
750.000000, 0.011903
748.000000, 0.013500
746.000000, 0.013095
744.000000, 0.012165
742.000000, 0.012852
740.000000, 0.012793
738.000000, 0.012552
736.000000, 0.012507
734.000000, 0.012546
732.000000, 0.012331
730.000000, 0.013031
728.000000, 0.012598
726.000000, 0.012064
724.000000, 0.011548
722.000000, 0.011986
720.000000, 0.012292
718.000000, 0.011706
716.000000, 0.012186
714.000000, 0.012328
712.000000, 0.011619
710.000000, 0.011750
708.000000, 0.012300
706.000000, 0.012052
704.000000, 0.012237
702.000000, 0.011346
700.000000, 0.011390
698.000000, 0.011596
696.000000, 0.011749
694.000000, 0.011367
692.000000, 0.011398
690.000000, 0.011998
688.000000, 0.011916
686.000000, 0.011967
684.000000, 0.012184
682.000000, 0.012525
680.000000, 0.013030
678.000000, 0.013088
676.000000, 0.013408
674.000000, 0.012868
672.000000, 0.012525
670.000000, 0.012898
668.000000, 0.012757
666.000000, 0.012535
664.000000, 0.013036
662.000000, 0.012430
660.000000, 0.012033
658.000000, 0.012600
656.000000, 0.012586
654.000000, 0.012452
652.000000, 0.012855
650.000000, 0.012126
648.000000, 0.011859
646.000000, 0.012640
644.000000, 0.012380
642.000000, 0.012196
640.000000, 0.012534
638.000000, 0.013010
636.000000, 0.013257
634.000000, 0.012909
632.000000, 0.012567
630.000000, 0.012058
628.000000, 0.012084
626.000000, 0.012803
624.000000, 0.012473
622.000000, 0.013051
620.000000, 0.013217
618.000000, 0.012492
616.000000, 0.012336
614.000000, 0.012641
612.000000, 0.012860
610.000000, 0.012266
608.000000, 0.013019
606.000000, 0.012948
604.000000, 0.013055
602.000000, 0.013127
600.000000, 0.012858
598.000000, 0.012506
596.000000, 0.012809
594.000000, 0.012348
592.000000, 0.013655
590.000000, 0.013528
588.000000, 0.012576
586.000000, 0.012976
584.000000, 0.013549
582.000000, 0.013493
580.000000, 0.013142
578.000000, 0.013342
576.000000, 0.013323
574.000000, 0.013750
572.000000, 0.013660
570.000000, 0.013773
568.000000, 0.013798
566.000000, 0.013808
564.000000, 0.014571
