nm, %R
1000.000000, 71.565757
998.000000, 71.686787
996.000000, 71.492993
994.000000, 71.348864
992.000000, 71.081993
990.000000, 71.653774
988.000000, 71.280514
986.000000, 71.576741
984.000000, 71.418683
982.000000, 71.512277
980.000000, 70.859742
978.000000, 70.645296
976.000000, 70.802106
974.000000, 70.997323
972.000000, 70.949683
970.000000, 70.676167
968.000000, 71.082723
966.000000, 70.710999
964.000000, 70.773592
962.000000, 70.494531
960.000000, 70.397743
958.000000, 70.620033
956.000000, 70.975329
954.000000, 70.460654
952.000000, 70.354934
950.000000, 70.466775
948.000000, 70.454554
946.000000, 70.481432
944.000000, 70.017257
942.000000, 70.168515
940.000000, 69.464936
938.000000, 70.521806
936.000000, 69.971341
934.000000, 70.118634
932.000000, 69.691876
930.000000, 69.667772
928.000000, 70.131670
926.000000, 69.547778
924.000000, 68.925234
922.000000, 69.186098
920.000000, 68.978124
918.000000, 69.019185
916.000000, 68.897892
914.000000, 68.350198
912.000000, 68.478974
910.000000, 68.079080
908.000000, 67.780668
906.000000, 67.802479
904.000000, 68.150214
902.000000, 67.859105
900.000000, 67.291523
898.000000, 66.955286
896.000000, 67.909089
894.000000, 67.642855
892.000000, 66.995666
890.000000, 66.763032
888.000000, 66.187684
886.000000, 67.086423
884.000000, 66.378929
882.000000, 65.643775
880.000000, 66.757335
878.000000, 67.960813
876.000000, 65.895008
874.000000, 67.743559
872.000000, 68.674943
870.000000, 65.710369
868.000000, 65.580332
866.000000, 66.249675
864.000000, 66.993744
862.000000, 66.094485
860.000000, 66.315899
858.000000, 65.518840
856.000000, 66.672551
854.000000, 66.654475
852.000000, 66.548708
850.000000, 64.574493
848.000000, 62.925718
846.000000, 60.469406
844.000000, 63.447048
842.000000, 59.977461
840.000000, 64.563602
838.000000, 61.849570
836.000000, 60.569949
834.000000, 61.391291
832.000000, 59.054323
830.000000, 62.155493
828.000000, 62.248744
826.000000, 60.631760
824.000000, 60.726555
822.000000, 60.310572
820.000000, 60.708316
818.000000, 61.228639
816.000000, 59.891119
814.000000, 60.583934
812.000000, 61.389501
810.000000, 60.777910
808.000000, 60.673071
806.000000, 60.405684
804.000000, 59.312203
802.000000, 59.837009
800.000000, 59.277584
798.000000, 58.406438
796.000000, 58.933159
794.000000, 58.830419
792.000000, 57.974012
790.000000, 57.904212
788.000000, 57.683094
786.000000, 57.467793
784.000000, 57.140689
782.000000, 57.539874
780.000000, 57.016401
778.000000, 57.152323
776.000000, 57.494895
774.000000, 56.724171
772.000000, 56.732461
770.000000, 56.586897
768.000000, 56.278034
766.000000, 56.135767
764.000000, 56.397508
762.000000, 56.027566
760.000000, 56.156964
758.000000, 56.009937
756.000000, 55.063206
754.000000, 54.713781
752.000000, 54.645378
750.000000, 54.820883
748.000000, 54.529463
746.000000, 54.040352
744.000000, 54.414459
742.000000, 54.024978
740.000000, 53.246712
738.000000, 53.702747
736.000000, 53.604650
734.000000, 52.813820
732.000000, 52.623951
730.000000, 52.328389
728.000000, 52.366410
726.000000, 52.424144
724.000000, 51.917382
722.000000, 51.691543
720.000000, 51.685911
718.000000, 51.459878
716.000000, 51.066003
714.000000, 51.103852
712.000000, 51.119396
710.000000, 50.463423
708.000000, 50.104468
706.000000, 50.043689
704.000000, 49.957451
702.000000, 50.133523
700.000000, 49.602213
698.000000, 49.343556
696.000000, 49.214986
694.000000, 48.970832
692.000000, 48.802201
690.000000, 48.489952
688.000000, 48.404300
686.000000, 48.268008
684.000000, 47.828757
682.000000, 47.460999
680.000000, 47.454053
678.000000, 47.283282
676.000000, 46.900520
674.000000, 46.783128
672.000000, 46.453009
670.000000, 46.298233
668.000000, 46.210727
666.000000, 46.252938
664.000000, 45.977472
662.000000, 45.645954
660.000000, 45.511958
658.000000, 45.345309
656.000000, 45.071344
654.000000, 44.732069
652.000000, 44.631884
650.000000, 44.606148
648.000000, 44.521144
646.000000, 44.173361
644.000000, 43.892719
642.000000, 43.831421
640.000000, 43.541319
638.000000, 43.567644
636.000000, 43.313209
634.000000, 43.122620
632.000000, 42.980935
630.000000, 42.811409
628.000000, 42.696087
626.000000, 42.224375
624.000000, 42.033546
622.000000, 41.917647
620.000000, 41.452371
618.000000, 41.585262
616.000000, 41.510222
614.000000, 41.192854
612.000000, 40.970325
610.000000, 40.847175
608.000000, 40.730351
606.000000, 40.502872
604.000000, 40.261649
602.000000, 40.145081
600.000000, 39.744248
598.000000, 39.844332
596.000000, 39.866641
594.000000, 39.576162
592.000000, 39.292890
590.000000, 39.029337
588.000000, 38.990621
586.000000, 38.921379
584.000000, 38.581103
582.000000, 38.466795
580.000000, 38.230774
578.000000, 38.010046
576.000000, 37.923613
574.000000, 37.815627
572.000000, 37.662277
570.000000, 37.531093
568.000000, 37.402875
566.000000, 37.206400
564.000000, 36.975182
562.000000, 36.792549
560.000000, 36.638271
558.000000, 36.491876
556.000000, 36.399438
554.000000, 36.100558
552.000000, 35.846167
550.000000, 35.831380
548.000000, 35.710985
546.000000, 35.726938
544.000000, 35.517979
542.000000, 35.372110
540.000000, 35.183841
538.000000, 35.167295
536.000000, 34.973969
534.000000, 34.798210
532.000000, 34.740137
530.000000, 34.479636
528.000000, 34.488524
526.000000, 34.379857
524.000000, 34.397726
522.000000, 34.390427
520.000000, 34.260777
518.000000, 34.262364
516.000000, 34.145866
514.000000, 34.176408
512.000000, 34.152288
510.000000, 34.015530
508.000000, 33.937522
506.000000, 33.826583
504.000000, 33.766172
502.000000, 33.577247
500.000000, 33.463130
498.000000, 33.268253
496.000000, 33.189633
494.000000, 33.028387
492.000000, 32.701156
490.000000, 32.462304
488.000000, 32.218339
486.000000, 32.259673
484.000000, 32.242479
482.000000, 32.024505
480.000000, 31.745427
478.000000, 31.873471
476.000000, 31.684286
474.000000, 31.757902
472.000000, 31.710438
470.000000, 31.543414
468.000000, 31.597608
466.000000, 31.423461
464.000000, 31.258852
462.000000, 31.174944
460.000000, 31.217557
458.000000, 30.865634
456.000000, 30.873929
454.000000, 30.761850
452.000000, 30.819760
450.000000, 30.588397
448.000000, 30.533392
446.000000, 30.199722
444.000000, 30.122112
442.000000, 30.266560
440.000000, 30.062641
438.000000, 30.092920
436.000000, 30.079107
434.000000, 30.080704
432.000000, 30.086492
430.000000, 29.888315
428.000000, 29.868968
426.000000, 29.689509
424.000000, 29.722301
422.000000, 29.628954
420.000000, 29.740694
418.000000, 29.726689
416.000000, 29.485986
414.000000, 29.473824
412.000000, 29.413139
410.000000, 29.412213
408.000000, 29.301352
406.000000, 29.354805
404.000000, 29.294574
402.000000, 29.366926
400.000000, 29.436751
398.000000, 29.401451
396.000000, 29.501453
394.000000, 29.444094
392.000000, 29.505431
390.000000, 29.398226
388.000000, 29.427423
386.000000, 29.571264
384.000000, 29.531994
382.000000, 29.460830
380.000000, 29.308106
378.000000, 28.914351
376.000000, 29.314019
374.000000, 28.920231
372.000000, 29.142306
370.000000, 28.970938
368.000000, 28.502032
366.000000, 28.175298
364.000000, 27.645544
362.000000, 26.977456
360.000000, 26.809458
358.000000, 26.753254
356.000000, 25.857723
354.000000, 25.105300
352.000000, 24.772233
350.000000, 24.032678
348.000000, 23.029636
346.000000, 23.023456
344.000000, 21.967951
342.000000, 21.430434
340.000000, 20.749689
338.000000, 20.058557
336.000000, 19.513822
334.000000, 18.770260
332.000000, 18.286842
330.000000, 17.841785
328.000000, 16.635970
326.000000, 16.085099
324.000000, 16.131123
322.000000, 15.784178
320.000000, 18.226793
318.000000, 23.328066
316.000000, 22.981399
314.000000, 22.615955
312.000000, 22.281161
310.000000, 22.527332
308.000000, 22.148504
306.000000, 21.984765
304.000000, 21.329515
302.000000, 21.684017
300.000000, 22.316305
298.000000, 21.651424
296.000000, 22.161041
294.000000, 22.094578
292.000000, 21.559455
290.000000, 21.869404
288.000000, 22.011544
286.000000, 22.380149
284.000000, 22.066558
282.000000, 21.985920
280.000000, 22.484584
278.000000, 22.263803
276.000000, 22.788310
274.000000, 23.200678
272.000000, 23.135494
270.000000, 23.071564
268.000000, 23.482464
266.000000, 23.695582
264.000000, 24.007061
262.000000, 23.884512
260.000000, 23.743924
258.000000, 23.560674
256.000000, 23.735336
254.000000, 24.172356
252.000000, 24.485754
250.000000, 24.747743
