nm, %R
1000.000000, 83.013110
998.000000, 82.963290
996.000000, 83.081945
994.000000, 83.269745
992.000000, 82.914820
990.000000, 82.657036
988.000000, 83.138613
986.000000, 83.431181
984.000000, 82.988381
982.000000, 83.232918
980.000000, 82.903532
978.000000, 82.310437
976.000000, 82.672930
974.000000, 82.415531
972.000000, 82.981450
970.000000, 82.715131
968.000000, 83.039852
966.000000, 82.266083
964.000000, 83.104318
962.000000, 82.617733
960.000000, 83.063858
958.000000, 83.008225
956.000000, 82.763433
954.000000, 83.310566
952.000000, 82.954658
950.000000, 83.591676
948.000000, 82.848598
946.000000, 82.944660
944.000000, 82.975580
942.000000, 83.325649
940.000000, 82.820303
938.000000, 83.523584
936.000000, 82.604678
934.000000, 82.830774
932.000000, 82.634618
930.000000, 83.630576
928.000000, 83.094866
926.000000, 83.667594
924.000000, 83.403187
922.000000, 83.581767
920.000000, 83.302907
918.000000, 83.988840
916.000000, 83.141655
914.000000, 81.986774
912.000000, 82.437240
910.000000, 83.101360
908.000000, 82.739129
906.000000, 83.312353
904.000000, 82.965068
902.000000, 83.390278
900.000000, 83.479249
898.000000, 82.710587
896.000000, 82.739291
894.000000, 84.221753
892.000000, 82.430827
890.000000, 82.050781
888.000000, 83.411511
886.000000, 83.711315
884.000000, 82.775561
882.000000, 82.227884
880.000000, 82.661457
878.000000, 81.624784
876.000000, 84.067429
874.000000, 85.153108
872.000000, 85.065554
870.000000, 83.620070
868.000000, 81.614534
866.000000, 84.186620
864.000000, 83.499374
862.000000, 81.630233
860.000000, 81.730698
858.000000, 80.850864
856.000000, 83.756706
854.000000, 84.504443
852.000000, 85.438127
850.000000, 84.740084
848.000000, 85.858757
846.000000, 82.868119
844.000000, 82.282125
842.000000, 78.161407
840.000000, 81.163273
838.000000, 80.969693
836.000000, 80.312390
834.000000, 83.234526
832.000000, 80.872241
830.000000, 81.323961
828.000000, 82.326317
826.000000, 81.226225
824.000000, 79.932019
822.000000, 81.180926
820.000000, 81.497079
818.000000, 80.944391
816.000000, 80.739581
814.000000, 81.067364
812.000000, 82.293750
810.000000, 81.483386
808.000000, 81.578742
806.000000, 82.137316
804.000000, 82.822525
802.000000, 83.054032
800.000000, 82.135139
798.000000, 81.779678
796.000000, 82.572390
794.000000, 82.148744
792.000000, 82.426435
790.000000, 82.114672
788.000000, 82.510802
786.000000, 82.012357
784.000000, 80.791430
782.000000, 81.571992
780.000000, 81.187916
778.000000, 80.752772
776.000000, 81.375162
774.000000, 81.390096
772.000000, 81.338662
770.000000, 81.326172
768.000000, 81.255383
766.000000, 81.255628
764.000000, 81.803349
762.000000, 81.941716
760.000000, 81.748704
758.000000, 81.762238
756.000000, 81.422347
754.000000, 81.523265
752.000000, 81.507439
750.000000, 81.382397
748.000000, 81.118260
746.000000, 81.162016
744.000000, 81.871071
742.000000, 81.809297
740.000000, 81.338201
738.000000, 81.795916
736.000000, 81.402226
734.000000, 80.789048
732.000000, 81.283023
730.000000, 81.114831
728.000000, 81.503454
726.000000, 81.627416
724.000000, 81.568007
722.000000, 81.966637
720.000000, 81.957096
718.000000, 81.583551
716.000000, 81.048742
714.000000, 81.446790
712.000000, 81.971558
710.000000, 81.633077
708.000000, 81.312872
706.000000, 81.386515
704.000000, 81.136797
702.000000, 81.486615
700.000000, 81.450638
698.000000, 81.449301
696.000000, 81.209760
694.000000, 81.313577
692.000000, 81.175996
690.000000, 80.739742
688.000000, 81.232427
686.000000, 80.841043
684.000000, 80.520155
682.000000, 80.551691
680.000000, 80.922998
678.000000, 80.545025
676.000000, 80.226560
674.000000, 80.470467
672.000000, 80.710396
670.000000, 80.839045
668.000000, 80.830045
666.000000, 80.570254
664.000000, 80.292857
662.000000, 80.222210
660.000000, 80.508729
658.000000, 80.544806
656.000000, 80.634093
654.000000, 80.452525
652.000000, 80.366428
650.000000, 80.478893
648.000000, 80.432113
646.000000, 80.411394
644.000000, 80.305379
642.000000, 80.295966
640.000000, 80.066384
638.000000, 79.866547
636.000000, 79.818848
634.000000, 80.256657
632.000000, 80.265279
630.000000, 80.266290
628.000000, 80.519063
626.000000, 80.026735
624.000000, 80.006602
622.000000, 79.582950
620.000000, 79.419126
618.000000, 79.743561
616.000000, 79.853376
614.000000, 79.778032
612.000000, 79.518939
610.000000, 79.819970
608.000000, 79.514716
606.000000, 79.405910
604.000000, 79.429025
602.000000, 79.303891
600.000000, 79.540219
598.000000, 79.297910
596.000000, 79.534631
594.000000, 79.371384
592.000000, 79.061789
590.000000, 78.952974
588.000000, 79.462575
586.000000, 79.554618
584.000000, 78.956294
582.000000, 78.895051
580.000000, 78.769290
578.000000, 78.664668
576.000000, 78.850096
574.000000, 78.674135
572.000000, 78.657581
570.000000, 78.798090
568.000000, 78.665334
566.000000, 78.599971
564.000000, 78.257609
562.000000, 78.317633
560.000000, 78.611823
558.000000, 78.619126
556.000000, 78.548042
554.000000, 78.126625
552.000000, 77.887873
550.000000, 78.136857
548.000000, 78.195630
546.000000, 78.281245
544.000000, 77.968050
542.000000, 78.038939
540.000000, 77.863424
538.000000, 77.971350
536.000000, 77.948280
534.000000, 77.771853
532.000000, 77.908174
530.000000, 77.812704
528.000000, 77.762513
526.000000, 77.765142
524.000000, 77.877995
522.000000, 77.771807
520.000000, 77.808217
518.000000, 77.764327
516.000000, 77.573319
514.000000, 77.884117
512.000000, 77.802626
510.000000, 77.928761
508.000000, 77.765789
506.000000, 77.641768
504.000000, 77.711946
502.000000, 77.764542
500.000000, 77.620062
498.000000, 77.679405
496.000000, 77.341371
494.000000, 77.453827
492.000000, 77.536029
490.000000, 77.327883
488.000000, 77.296385
486.000000, 77.294783
484.000000, 77.363514
482.000000, 76.742511
480.000000, 76.968003
478.000000, 77.265092
476.000000, 77.101294
474.000000, 77.163251
472.000000, 77.290910
470.000000, 77.065390
468.000000, 77.325359
466.000000, 77.387678
464.000000, 77.308656
462.000000, 77.032680
460.000000, 77.206213
458.000000, 77.021211
456.000000, 77.046065
454.000000, 77.097177
452.000000, 77.584943
450.000000, 77.048800
448.000000, 76.958816
446.000000, 77.349699
444.000000, 77.378295
442.000000, 77.264575
440.000000, 77.142960
438.000000, 77.288337
436.000000, 77.317970
434.000000, 77.086051
432.000000, 77.431741
430.000000, 77.050998
428.000000, 77.137570
426.000000, 77.377458
424.000000, 77.630545
422.000000, 77.292196
420.000000, 76.975929
418.000000, 77.087391
416.000000, 77.233984
414.000000, 76.881826
412.000000, 76.462557
410.000000, 76.439194
408.000000, 75.730304
406.000000, 75.450436
404.000000, 75.258645
402.000000, 74.981340
400.000000, 74.378748
398.000000, 73.941246
396.000000, 73.149121
394.000000, 72.549151
392.000000, 72.082367
390.000000, 71.604485
388.000000, 70.175588
386.000000, 69.293666
384.000000, 68.335327
382.000000, 67.593913
380.000000, 66.502660
378.000000, 65.871509
376.000000, 63.083003
374.000000, 63.096747
372.000000, 62.701177
370.000000, 60.312727
368.000000, 59.501696
366.000000, 57.623097
364.000000, 55.672225
362.000000, 54.241829
360.000000, 52.303061
358.000000, 51.097636
356.000000, 48.872029
354.000000, 47.377779
352.000000, 46.367323
350.000000, 44.724526
348.000000, 42.599538
346.000000, 41.157815
344.000000, 38.928765
342.000000, 37.659624
340.000000, 36.057911
338.000000, 34.696239
336.000000, 32.964560
334.000000, 31.529914
332.000000, 29.810473
330.000000, 28.444219
328.000000, 26.707326
326.000000, 25.342690
324.000000, 25.155738
322.000000, 24.342232
320.000000, 25.568194
318.000000, 29.677813
316.000000, 28.875160
314.000000, 28.459900
312.000000, 27.452995
310.000000, 27.809730
308.000000, 26.974700
306.000000, 26.647982
304.000000, 26.651678
302.000000, 26.647515
300.000000, 25.778658
298.000000, 25.214073
296.000000, 25.340343
294.000000, 25.774210
292.000000, 25.163377
290.000000, 24.934768
288.000000, 25.207261
286.000000, 25.370720
284.000000, 25.277627
282.000000, 25.028455
280.000000, 25.369748
278.000000, 25.573458
276.000000, 25.543738
274.000000, 25.540385
272.000000, 25.439746
270.000000, 25.647086
268.000000, 25.705016
266.000000, 25.940007
264.000000, 25.964929
262.000000, 26.283891
260.000000, 26.580030
258.000000, 26.488767
256.000000, 26.816268
254.000000, 27.110899
252.000000, 27.392338
250.000000, 28.052360
