nm, K-M
1000.000000, 0.018685
998.000000, 0.019599
996.000000, 0.019010
994.000000, 0.018659
992.000000, 0.019329
990.000000, 0.019541
988.000000, 0.018021
986.000000, 0.018305
984.000000, 0.019551
982.000000, 0.018164
980.000000, 0.018973
978.000000, 0.019300
976.000000, 0.020010
974.000000, 0.018636
972.000000, 0.018602
970.000000, 0.018949
968.000000, 0.018336
966.000000, 0.018216
964.000000, 0.017900
962.000000, 0.019545
960.000000, 0.019281
958.000000, 0.018647
956.000000, 0.018204
954.000000, 0.019044
952.000000, 0.017441
950.000000, 0.017830
948.000000, 0.019358
946.000000, 0.018574
944.000000, 0.018681
942.000000, 0.018475
940.000000, 0.019318
938.000000, 0.018584
936.000000, 0.019316
934.000000, 0.018818
932.000000, 0.020398
930.000000, 0.020431
928.000000, 0.018199
926.000000, 0.019323
924.000000, 0.021569
922.000000, 0.018710
920.000000, 0.019218
918.000000, 0.019637
916.000000, 0.019247
914.000000, 0.020298
912.000000, 0.021940
910.000000, 0.020063
908.000000, 0.020916
906.000000, 0.019323
904.000000, 0.019736
902.000000, 0.023027
900.000000, 0.021535
898.000000, 0.020662
896.000000, 0.021573
894.000000, 0.021314
892.000000, 0.026058
890.000000, 0.024716
888.000000, 0.022252
886.000000, 0.023739
884.000000, 0.024373
882.000000, 0.027355
880.000000, 0.022192
878.000000, 0.020628
876.000000, 0.020677
874.000000, 0.021124
872.000000, 0.024256
870.000000, 0.028593
868.000000, 0.024814
866.000000, 0.025114
864.000000, 0.022316
862.000000, 0.022197
860.000000, 0.023311
858.000000, 0.017871
856.000000, 0.019383
854.000000, 0.022783
852.000000, 0.022794
850.000000, 0.023141
848.000000, 0.014927
846.000000, 0.021013
844.000000, 0.018606
842.000000, 0.031053
840.000000, 0.025967
838.000000, 0.031588
836.000000, 0.033783
834.000000, 0.033145
832.000000, 0.038470
830.000000, 0.032061
828.000000, 0.029818
826.000000, 0.038028
824.000000, 0.034567
822.000000, 0.032296
820.000000, 0.032587
818.000000, 0.030580
816.000000, 0.035520
814.000000, 0.032752
812.000000, 0.029688
810.000000, 0.032980
808.000000, 0.033491
806.000000, 0.032219
804.000000, 0.034535
802.000000, 0.035262
800.000000, 0.035794
798.000000, 0.038132
796.000000, 0.033507
794.000000, 0.034165
792.000000, 0.037440
790.000000, 0.039072
788.000000, 0.039821
786.000000, 0.041802
784.000000, 0.044356
782.000000, 0.041968
780.000000, 0.043093
778.000000, 0.044056
776.000000, 0.043894
774.000000, 0.043894
772.000000, 0.043967
770.000000, 0.044375
768.000000, 0.043496
766.000000, 0.043922
764.000000, 0.042588
762.000000, 0.043049
760.000000, 0.043459
758.000000, 0.043428
756.000000, 0.044913
754.000000, 0.047161
752.000000, 0.046913
750.000000, 0.048129
748.000000, 0.051146
746.000000, 0.052636
744.000000, 0.051173
742.000000, 0.051036
740.000000, 0.053447
738.000000, 0.051334
736.000000, 0.051736
734.000000, 0.054985
732.000000, 0.054231
730.000000, 0.056397
728.000000, 0.057330
726.000000, 0.057662
724.000000, 0.058013
722.000000, 0.057798
720.000000, 0.058602
718.000000, 0.061320
716.000000, 0.063668
714.000000, 0.063300
712.000000, 0.063787
710.000000, 0.065724
708.000000, 0.064973
706.000000, 0.065399
704.000000, 0.068585
702.000000, 0.069444
700.000000, 0.068717
698.000000, 0.069249
696.000000, 0.071963
694.000000, 0.073359
692.000000, 0.076946
690.000000, 0.079208
688.000000, 0.077949
686.000000, 0.079223
684.000000, 0.083575
682.000000, 0.084207
680.000000, 0.083835
678.000000, 0.086623
676.000000, 0.089000
674.000000, 0.089451
672.000000, 0.090725
670.000000, 0.092673
668.000000, 0.092985
666.000000, 0.093961
664.000000, 0.095235
662.000000, 0.097083
660.000000, 0.098369
658.000000, 0.098808
656.000000, 0.100686
654.000000, 0.106512
652.000000, 0.107709
650.000000, 0.107128
648.000000, 0.109080
646.000000, 0.111513
644.000000, 0.113879
642.000000, 0.114587
640.000000, 0.118173
638.000000, 0.121094
636.000000, 0.120484
634.000000, 0.121146
632.000000, 0.123691
630.000000, 0.125478
628.000000, 0.128390
626.000000, 0.133446
624.000000, 0.132329
622.000000, 0.136113
620.000000, 0.137926
618.000000, 0.138195
616.000000, 0.140240
614.000000, 0.144639
612.000000, 0.146382
610.000000, 0.147531
608.000000, 0.154075
606.000000, 0.154724
604.000000, 0.157326
602.000000, 0.162972
600.000000, 0.163384
