nm, %R
1000.000000, 77.726670
998.000000, 77.955764
996.000000, 78.162207
994.000000, 77.625499
992.000000, 77.844355
990.000000, 77.589746
988.000000, 77.961217
986.000000, 78.020809
984.000000, 77.834247
982.000000, 78.046215
980.000000, 77.795789
978.000000, 77.731517
976.000000, 77.853350
974.000000, 77.865017
972.000000, 77.737964
970.000000, 77.786217
968.000000, 77.970557
966.000000, 77.468604
964.000000, 77.447408
962.000000, 77.639284
960.000000, 78.084260
958.000000, 78.222251
956.000000, 77.857920
954.000000, 78.221123
952.000000, 78.107765
950.000000, 78.259654
948.000000, 78.086375
946.000000, 77.987136
944.000000, 77.925898
942.000000, 78.020173
940.000000, 77.630811
938.000000, 78.202127
936.000000, 77.545167
934.000000, 77.884990
932.000000, 77.626387
930.000000, 78.133710
928.000000, 78.153868
926.000000, 78.335717
924.000000, 77.748578
922.000000, 78.001567
920.000000, 77.647157
918.000000, 78.251082
916.000000, 77.627689
914.000000, 77.457094
912.000000, 77.092845
910.000000, 78.205237
908.000000, 77.786644
906.000000, 78.671054
904.000000, 78.802770
902.000000, 77.889285
900.000000, 76.961761
898.000000, 77.096666
896.000000, 77.596386
894.000000, 79.128584
892.000000, 76.451823
890.000000, 77.238358
888.000000, 77.835221
886.000000, 76.982414
884.000000, 76.423577
882.000000, 77.362300
880.000000, 78.209642
878.000000, 77.648983
876.000000, 78.084892
874.000000, 78.519038
872.000000, 79.595216
870.000000, 77.570806
868.000000, 76.806615
866.000000, 78.321296
864.000000, 79.334205
862.000000, 76.533055
860.000000, 75.681783
858.000000, 76.035820
856.000000, 77.376038
854.000000, 78.433689
852.000000, 80.516403
850.000000, 78.480750
848.000000, 80.278877
846.000000, 78.406831
844.000000, 77.761534
842.000000, 76.708103
840.000000, 80.995885
838.000000, 77.353146
836.000000, 75.209269
834.000000, 77.991852
832.000000, 74.747564
830.000000, 77.831408
828.000000, 78.675514
826.000000, 76.001556
824.000000, 76.300099
822.000000, 76.483291
820.000000, 76.697071
818.000000, 77.883915
816.000000, 77.594147
814.000000, 77.821220
812.000000, 78.316544
810.000000, 77.583244
808.000000, 77.524209
806.000000, 78.142962
804.000000, 78.064467
802.000000, 77.881444
800.000000, 77.009895
798.000000, 76.426898
796.000000, 76.987353
794.000000, 77.273296
792.000000, 77.028863
790.000000, 76.702888
788.000000, 76.814637
786.000000, 77.619688
784.000000, 77.095486
782.000000, 77.303750
780.000000, 76.722666
778.000000, 76.061934
776.000000, 76.929086
774.000000, 76.951926
772.000000, 76.699253
770.000000, 76.908983
768.000000, 77.321335
766.000000, 77.509449
764.000000, 77.397871
762.000000, 77.218770
760.000000, 78.326014
758.000000, 78.133356
756.000000, 77.427569
754.000000, 77.134740
752.000000, 77.019390
750.000000, 77.608793
748.000000, 77.502422
746.000000, 77.151840
744.000000, 77.722904
742.000000, 77.324850
740.000000, 76.554067
738.000000, 77.277971
736.000000, 77.608200
734.000000, 77.290221
732.000000, 77.277313
730.000000, 76.975195
728.000000, 77.610600
726.000000, 78.056414
724.000000, 77.380295
722.000000, 77.509970
720.000000, 78.128711
718.000000, 77.697869
716.000000, 76.835161
714.000000, 77.140799
712.000000, 78.114806
710.000000, 77.828519
708.000000, 77.282822
706.000000, 77.259406
704.000000, 77.234204
702.000000, 77.672770
700.000000, 77.448094
698.000000, 77.169315
696.000000, 77.273116
694.000000, 77.388185
692.000000, 77.430576
690.000000, 77.358606
688.000000, 77.238851
686.000000, 77.029302
684.000000, 76.914849
682.000000, 77.021133
680.000000, 77.235600
678.000000, 76.770972
676.000000, 76.589796
674.000000, 76.579811
672.000000, 76.517770
670.000000, 76.659722
668.000000, 76.716079
666.000000, 76.795634
664.000000, 76.839701
662.000000, 76.600979
660.000000, 76.851785
658.000000, 76.729579
656.000000, 76.558781
654.000000, 76.462021
652.000000, 76.463815
650.000000, 76.368775
648.000000, 76.887215
646.000000, 76.710859
644.000000, 76.566926
642.000000, 76.661738
640.000000, 76.570044
638.000000, 76.752022
636.000000, 76.816689
634.000000, 77.150373
632.000000, 77.036859
630.000000, 77.103596
628.000000, 77.268169
626.000000, 76.650281
624.000000, 77.064427
622.000000, 76.824446
620.000000, 76.689880
618.000000, 76.900671
616.000000, 76.926769
614.000000, 76.885278
612.000000, 76.528187
610.000000, 76.588968
608.000000, 76.597086
606.000000, 76.698578
604.000000, 76.787303
602.000000, 76.467893
600.000000, 76.536668
598.000000, 76.395939
596.000000, 76.342691
594.000000, 76.827836
592.000000, 76.539207
590.000000, 76.400981
588.000000, 76.833856
586.000000, 76.573950
584.000000, 76.289757
582.000000, 76.166262
580.000000, 76.406135
578.000000, 76.568697
576.000000, 76.564080
574.000000, 76.325730
572.000000, 76.353000
570.000000, 76.534907
568.000000, 76.361744
566.000000, 76.114722
564.000000, 76.039222
562.000000, 75.835378
560.000000, 76.061300
558.000000, 76.315867
556.000000, 76.270234
554.000000, 76.095205
552.000000, 75.953740
550.000000, 76.177117
548.000000, 76.230018
546.000000, 76.300638
544.000000, 76.305146
542.000000, 76.134781
540.000000, 76.128939
538.000000, 76.151192
536.000000, 76.130858
534.000000, 76.001392
532.000000, 75.960916
530.000000, 75.801083
528.000000, 75.803690
526.000000, 75.910299
524.000000, 75.930111
522.000000, 75.775467
520.000000, 75.900104
518.000000, 75.936579
516.000000, 75.974443
514.000000, 76.318707
512.000000, 76.306335
510.000000, 76.262704
508.000000, 76.364030
506.000000, 76.470330
504.000000, 76.534593
502.000000, 76.431497
500.000000, 76.547898
498.000000, 76.109516
496.000000, 76.241408
494.000000, 76.370686
492.000000, 76.399725
490.000000, 76.056634
488.000000, 76.218150
486.000000, 76.233953
484.000000, 76.124470
482.000000, 75.886934
480.000000, 75.746283
478.000000, 75.875775
476.000000, 75.867523
474.000000, 75.747745
472.000000, 75.773478
470.000000, 75.816142
468.000000, 75.541670
466.000000, 75.764332
464.000000, 75.377230
462.000000, 75.259690
460.000000, 75.358619
458.000000, 74.909662
456.000000, 75.241438
454.000000, 75.030185
452.000000, 74.863629
450.000000, 75.000479
448.000000, 74.699512
446.000000, 74.491595
444.000000, 74.673520
442.000000, 74.599091
440.000000, 74.241322
438.000000, 73.642242
436.000000, 73.882980
434.000000, 73.372006
432.000000, 73.467747
430.000000, 73.371955
428.000000, 72.886866
426.000000, 72.569327
424.000000, 72.333815
422.000000, 71.986914
420.000000, 72.302972
418.000000, 72.410752
416.000000, 72.267528
414.000000, 72.424275
412.000000, 71.981305
410.000000, 71.483413
408.000000, 71.312460
406.000000, 70.600573
404.000000, 70.285967
402.000000, 69.790415
400.000000, 68.978186
398.000000, 68.232924
396.000000, 67.159522
394.000000, 66.408295
392.000000, 65.400746
390.000000, 64.104971
388.000000, 62.935696
386.000000, 61.320710
384.000000, 60.363812
382.000000, 59.216326
380.000000, 57.648139
378.000000, 56.047087
376.000000, 53.984903
374.000000, 52.359968
372.000000, 50.899484
370.000000, 49.019787
368.000000, 48.032752
366.000000, 46.254497
364.000000, 43.913340
362.000000, 42.334645
360.000000, 40.800782
358.000000, 39.338074
356.000000, 37.631757
354.000000, 36.084859
352.000000, 35.186462
350.000000, 33.594423
348.000000, 31.573363
346.000000, 31.001199
344.000000, 29.245166
342.000000, 28.369325
340.000000, 27.190844
338.000000, 26.021588
336.000000, 24.685959
334.000000, 24.447869
332.000000, 23.255058
330.000000, 22.461122
328.000000, 21.316474
326.000000, 20.182112
324.000000, 20.636950
322.000000, 20.047844
320.000000, 20.567156
318.000000, 25.277336
316.000000, 25.184788
314.000000, 25.173588
312.000000, 24.249606
310.000000, 24.133224
308.000000, 24.102932
306.000000, 23.672928
304.000000, 24.004671
302.000000, 23.556494
300.000000, 23.065770
298.000000, 22.477827
296.000000, 23.407752
294.000000, 23.339302
292.000000, 23.475722
290.000000, 23.137376
288.000000, 22.634496
286.000000, 23.172010
284.000000, 23.044322
282.000000, 23.060113
280.000000, 23.349826
278.000000, 23.531458
276.000000, 23.581552
274.000000, 23.820772
272.000000, 23.830110
270.000000, 23.570555
268.000000, 23.847335
266.000000, 24.199918
264.000000, 24.172515
262.000000, 24.105478
260.000000, 24.635428
258.000000, 24.820708
256.000000, 25.072290
254.000000, 25.524196
252.000000, 25.972941
250.000000, 26.319614
