nm, %R
1000.000000, 84.152423
998.000000, 84.166134
996.000000, 84.558678
994.000000, 84.330543
992.000000, 84.684154
990.000000, 84.135969
988.000000, 84.699831
986.000000, 84.764530
984.000000, 84.089046
982.000000, 84.806042
980.000000, 84.538426
978.000000, 83.838592
976.000000, 84.025442
974.000000, 84.218795
972.000000, 84.540198
970.000000, 84.290109
968.000000, 84.753434
966.000000, 84.143107
964.000000, 84.145297
962.000000, 84.311330
960.000000, 84.377590
958.000000, 84.240316
956.000000, 84.271683
954.000000, 84.529952
952.000000, 84.536564
950.000000, 84.512484
948.000000, 84.460664
946.000000, 84.187864
944.000000, 84.210208
942.000000, 84.633956
940.000000, 84.764070
938.000000, 84.704466
936.000000, 84.248884
934.000000, 84.276825
932.000000, 84.454372
930.000000, 84.606109
928.000000, 84.629593
926.000000, 84.884470
924.000000, 83.961775
922.000000, 84.855750
920.000000, 84.303180
918.000000, 84.895969
916.000000, 84.068324
914.000000, 83.657699
912.000000, 84.198195
910.000000, 85.553126
908.000000, 85.018924
906.000000, 84.747039
904.000000, 84.282249
902.000000, 83.754546
900.000000, 83.709289
898.000000, 84.704196
896.000000, 83.869026
894.000000, 85.508603
892.000000, 84.065264
890.000000, 83.642848
888.000000, 84.086485
886.000000, 83.375222
884.000000, 83.694429
882.000000, 84.109224
880.000000, 83.855188
878.000000, 84.828612
876.000000, 84.461920
874.000000, 85.542740
872.000000, 85.265271
870.000000, 83.662611
868.000000, 83.465475
866.000000, 85.015429
864.000000, 85.187109
862.000000, 82.583722
860.000000, 83.699626
858.000000, 84.177674
856.000000, 84.664921
854.000000, 86.797111
852.000000, 87.003208
850.000000, 86.778162
848.000000, 84.282785
846.000000, 76.102358
844.000000, 83.863078
842.000000, 81.093250
840.000000, 83.351046
838.000000, 84.409716
836.000000, 80.476884
834.000000, 83.540039
832.000000, 80.783288
830.000000, 82.847873
828.000000, 84.322029
826.000000, 83.028056
824.000000, 82.892452
822.000000, 83.548571
820.000000, 82.580636
818.000000, 83.441576
816.000000, 83.327813
814.000000, 82.969284
812.000000, 84.446949
810.000000, 84.084864
808.000000, 84.647124
806.000000, 84.905825
804.000000, 84.886684
802.000000, 84.676258
800.000000, 83.522752
798.000000, 82.875804
796.000000, 84.312949
794.000000, 84.086458
792.000000, 82.785140
790.000000, 83.155273
788.000000, 83.461008
786.000000, 84.163445
784.000000, 83.417140
782.000000, 83.493294
780.000000, 83.904403
778.000000, 83.471320
776.000000, 83.590433
774.000000, 83.372978
772.000000, 83.159088
770.000000, 83.383845
768.000000, 83.895010
766.000000, 83.667111
764.000000, 84.147653
762.000000, 84.052822
760.000000, 83.965236
758.000000, 83.791695
756.000000, 83.532756
754.000000, 83.654331
752.000000, 83.785088
750.000000, 83.750489
748.000000, 83.154995
746.000000, 82.714416
744.000000, 83.708754
742.000000, 83.715210
740.000000, 83.288026
738.000000, 83.965645
736.000000, 84.258739
734.000000, 84.114529
732.000000, 83.887346
730.000000, 83.022096
728.000000, 83.155023
726.000000, 83.852820
724.000000, 83.838393
722.000000, 83.677310
720.000000, 83.866970
718.000000, 83.837299
716.000000, 83.340974
714.000000, 83.890130
712.000000, 84.126485
710.000000, 83.878812
708.000000, 83.551124
706.000000, 83.508879
704.000000, 83.698244
702.000000, 84.015680
700.000000, 84.243661
698.000000, 84.117381
696.000000, 83.701579
694.000000, 83.853884
692.000000, 83.806205
690.000000, 83.826136
688.000000, 83.810725
686.000000, 83.766858
