Sample ID, Description, Iris Aperture used?, Type, CBDep
K3NbO8 - white - 1, , no, Sample, On
K3NbO8 - white - 2, , no, Sample, On
Rb3NbO8 - white - 1, , no, Sample, On
Rb3NbO8 - white - 2, , no, Sample, On
Cs3NbO8 - white - 1, , no, Sample, On
Cs3NbO8 - white - 2, , no, Sample, On
K3NbO8 - brown - 1, , no, Sample, On
K3NbO8 - brown - 2, , no, Sample, On
Rb3NbO8 - brown - 1, , no, Sample, On
Rb3NbO8 - brown - 2, , no, Sample, On
Cs3NbO8 - brown - 1, , no, Sample, On
Cs3NbO8 - brown - 2, , no, Sample, On
